CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
4/1/12,86,76,66,70,68,63,100,74,48,29.93,29.88,29.82,10,7,0,15,7,22,0,5,Fog,197<br />
4/2/12,87,76,64,72,66,63,100,74,48,29.91,29.83,29.79,10,6,0,29,8,38,1.31,5,Fog-Rain-Thunderstorm,111<br />
4/3/12,87,74,61,72,65,60,100,74,48,29.94,29.88,29.84,10,10,10,20,7,28,0.04,4,,120<br />
4/4/12,78,71,63,67,64,61,100,82,64,29.96,29.85,29.77,10,8,1,23,7,33,1.57,4,Rain-Thunderstorm,74<br />
4/5/12,82,72,62,69,64,56,100,77,54,29.87,29.79,29.75,10,10,9,14,5,23,T,4,Rain,289<br />
4/6/12,80,67,54,58,56,51,93,69,45,30.06,29.96,29.88,10,10,10,12,3,16,0,0,,19<br />
4/7/12,81,68,54,62,56,52,93,68,42,30.19,30.13,30.06,10,10,10,10,4,17,0,1,,78<br />
4/8/12,83,71,58,63,59,55,100,70,40,30.26,30.2,30.14,10,10,8,8,1,10,0,2,,10<br />
4/9/12,83,71,58,63,59,57,93,68,43,30.19,30.13,30.07,10,10,10,8,2,14,0,1,,24<br />
4/10/12,84,72,59,66,60,57,97,70,43,30.14,30.09,30.04,10,10,9,10,2,17,T,1,Rain,232<br />
4/11/12,84,72,60,67,63,60,100,78,55,30.12,30.08,30.04,10,9,5,15,4,21,T,1,Rain-Thunderstorm,57<br />
4/12/12,78,67,55,59,54,48,93,68,43,30.17,30.12,30.08,10,10,10,16,6,21,0,1,,84<br />
4/13/12,84,72,59,65,62,58,97,74,51,30.12,30.08,30.05,10,10,7,16,8,22,0,2,,121<br />
4/14/12,85,73,60,66,61,57,97,71,45,30.11,30.06,30.01,10,10,3,20,9,25,0,1,,127<br />
4/15/12,85,77,68,70,67,64,93,72,51,30.01,29.98,29.94,10,9,6,25,13,36,0,5,,151<br />
4/16/12,84,76,68,71,68,64,100,84,67,30.14,30.08,29.99,10,9,3,17,4,28,0.16,6,Rain,83<br />
4/17/12,72,65,57,68,63,53,93,78,63,30.14,30.1,30.04,10,9,7,25,7,33,0.15,6,Rain,25<br />
4/18/12,79,67,54,57,53,51,93,68,42,30.13,30.08,30.01,10,10,10,13,4,16,0,0,,11<br />
4/19/12,81,67,53,57,52,48,93,63,33,30.03,29.96,29.88,10,10,10,9,2,13,0,0,,48<br />
4/20/12,81,68,54,63,57,53,100,71,42,29.92,29.84,29.75,10,10,7,14,4,20,0,2,,239<br />
4/21/12,69,61,52,63,57,48,90,79,67,29.93,29.79,29.71,10,10,8,15,6,24,0.04,6,Rain,5<br />
4/22/12,79,65,50,52,48,41,89,62,35,30.02,29.94,29.88,10,10,10,18,6,24,0,0,,316<br />
4/23/12,70,59,48,46,42,38,80,56,31,30.14,30.08,30.03,10,10,10,16,5,23,0,0,,336<br />
4/24/12,78,61,44,50,45,40,93,61,29,30.13,30.06,29.99,10,10,8,18,7,24,0,0,,221<br />
4/25/12,84,70,56,65,58,50,86,65,43,30.04,30,29.96,10,10,7,20,11,24,0,0,,196<br />
4/26/12,84,75,65,66,64,63,100,74,48,30.06,30,29.96,10,10,4,21,12,25,0,3,,192<br />
4/27/12,85,74,63,66,63,59,100,72,44,30.05,30,29.96,10,9,4,18,9,24,0,3,,162<br />
4/28/12,86,74,62,66,63,61,100,74,47,30.03,29.99,29.96,10,9,5,18,8,23,0,3,,153<br />
4/29/12,88,75,62,70,66,61,100,76,51,30.09,30.06,30.01,10,9,6,14,7,20,T,3,Rain,119<br />
4/30/12,89,78,66,72,68,63,100,73,45,30.13,30.07,30.01,10,6,0,12,5,21,0,4,Fog,118<br />
5/1/12,88,76,63,70,66,59,100,72,43,30.07,30.01,29.94,10,8,0,16,7,23,0,2,Fog,97<br />
5/2/12,87,78,68,76,70,66,97,81,65,29.96,29.93,29.9,10,8,1,20,6,25,0.79,6,Rain-Thunderstorm,86<br />
5/3/12,90,80,70,72,70,68,100,77,53,30.02,29.98,29.94,10,10,7,10,3,22,T,6,,100<br />
5/4/12,90,80,69,73,70,68,100,75,50,30.06,30,29.95,10,10,8,10,3,14,0,3,,193<br />
5/5/12,90,81,72,72,71,68,100,75,50,30.01,29.96,29.89,10,9,6,16,4,21,T,4,Rain,210<br />
5/6/12,92,81,69,72,69,66,97,74,50,29.99,29.93,29.86,10,9,6,17,3,21,T,3,Rain-Thunderstorm,117<br />
5/7/12,90,78,66,70,68,66,100,75,50,29.94,29.89,29.83,10,8,2,23,4,30,1.3,3,Rain,22<br />
5/8/12,87,76,65,70,67,64,100,76,51,29.93,29.89,29.82,10,10,9,20,3,22,0,1,,30<br />
5/9/12,83,73,63,69,65,58,97,76,55,29.95,29.91,29.86,10,10,10,12,4,17,T,4,,340<br />
5/10/12,83,71,58,60,56,51,93,65,36,30,29.94,29.89,10,10,10,12,4,16,0,0,,68<br />
5/11/12,72,68,63,67,64,59,93,87,81,30.03,29.97,29.91,10,8,2,21,6,24,0.2,6,Rain,70<br />
5/12/12,80,74,67,72,68,66,100,87,74,30.05,30.02,29.98,10,9,2,16,7,21,0.23,6,Rain,164<br />
5/13/12,79,72,65,68,65,60,100,79,58,30.1,30.04,30.01,10,9,5,13,3,18,T,6,Rain,305<br />
5/14/12,83,72,61,65,61,57,100,72,43,30.07,30.01,29.95,10,9,5,13,3,17,0,1,,6<br />
