CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
4/1/14,84,70,56,63,59,54,93,69,45,30.11,30.07,30.02,10,10,5,16,8,22,0,3,,154<br />
4/2/14,85,75,64,67,64,61,93,71,48,30.06,30.01,29.96,10,9,5,20,10,25,0,5,,132<br />
4/3/14,85,77,69,68,66,62,90,69,48,29.98,29.94,29.89,10,10,7,26,12,33,0,6,,149<br />
4/4/14,78,72,66,68,63,53,93,74,54,30.01,29.95,29.84,10,8,2,25,7,34,0.19,6,Rain,309<br />
4/5/14,67,63,59,54,47,43,75,60,45,30.08,30.02,29.96,10,10,10,17,8,20,T,8,Rain,48<br />
4/6/14,75,66,56,71,61,53,93,86,78,29.94,29.78,29.63,10,6,1,31,11,39,2.13,8,Rain-Thunderstorm,97<br />
4/7/14,71,63,54,70,59,48,93,73,53,29.95,29.74,29.63,10,8,0,20,9,25,0.54,6,Fog-Rain,271<br />
4/8/14,69,60,50,52,47,40,89,73,56,30.11,29.95,29.85,10,10,9,24,10,35,0.04,4,Rain-Thunderstorm,285<br />
4/9/14,72,59,45,45,42,38,92,61,29,30.27,30.2,30.13,10,10,10,14,5,19,0,0,,277<br />
4/10/14,77,62,46,52,47,43,93,63,33,30.24,30.19,30.14,10,10,10,18,7,23,0,0,,169<br />
4/11/14,80,66,52,57,54,49,89,66,42,30.2,30.13,30.07,10,10,10,15,6,20,0,3,,143<br />
4/12/14,84,71,57,64,60,55,100,73,46,30.15,30.09,30,10,6,0,18,9,27,0,4,Fog,113<br />
4/13/14,85,77,69,68,64,59,90,67,44,30.01,29.95,29.83,10,9,6,23,12,29,0.01,5,Rain,147<br />
4/14/14,86,69,51,72,64,48,87,69,51,29.99,29.83,29.7,10,9,1,20,10,32,0.59,7,Rain-Thunderstorm,216<br />
4/15/14,62,53,44,47,35,25,80,53,25,30.21,30.12,30.01,10,10,10,21,9,30,0,4,,341<br />
4/16/14,67,52,37,43,36,31,85,60,34,30.27,30.18,30.09,10,10,10,15,6,18,0,0,,81<br />
4/17/14,67,57,47,57,52,43,86,72,58,30.2,30.15,30.12,10,10,8,15,7,18,0,6,,58<br />
4/18/14,80,69,58,62,57,53,90,66,42,30.16,30.11,30.05,10,10,9,15,5,22,0.01,5,Rain-Thunderstorm,15<br />
4/19/14,82,67,52,56,52,49,93,65,36,30.19,30.14,30.09,10,10,7,12,2,15,0,0,,2<br />
4/20/14,85,69,53,56,52,48,93,61,29,30.19,30.13,30.06,10,10,10,9,3,12,0,0,,77<br />
4/21/14,82,71,59,61,58,54,93,67,40,30.14,30.09,29.98,10,9,4,12,6,15,0,3,,167<br />
4/22/14,82,72,62,66,62,59,93,72,51,30,29.96,29.89,10,8,2,15,6,20,T,5,Rain,249<br />
4/23/14,87,73,58,61,57,51,90,61,32,30,29.94,29.87,10,10,6,12,3,15,0,1,,96<br />
4/24/14,85,73,60,66,63,59,93,72,51,29.98,29.92,29.85,10,7,0,20,9,24,0,5,Fog,184<br />
4/25/14,87,76,64,67,64,56,90,63,36,30,29.96,29.9,10,9,6,10,5,16,0,4,,266<br />
4/26/14,88,76,64,69,62,55,82,64,46,29.98,29.92,29.86,10,10,8,15,7,21,0,4,,117<br />
4/27/14,89,82,74,70,69,65,87,66,44,29.88,29.79,29.7,10,10,8,26,14,34,T,4,Rain,155<br />
4/28/14,86,80,74,73,71,69,94,78,61,29.78,29.69,29.61,10,8,3,28,14,34,0.02,7,Rain,188<br />
4/29/14,88,80,71,73,70,58,93,75,57,29.82,29.69,29.65,10,6,0,17,8,23,T,7,Fog-Rain-Thunderstorm,174<br />
4/30/14,74,66,57,54,46,42,64,50,35,30.11,29.98,29.83,10,10,10,16,6,22,0,1,,319<br />
5/1/14,75,62,49,51,42,37,80,54,27,30.15,30.08,30,10,10,10,13,3,19,T,1,,336<br />
5/2/14,79,68,57,52,45,37,80,52,24,30.06,30.01,29.95,10,10,8,10,3,17,0,3,,356<br />
5/3/14,86,70,53,59,50,43,89,55,21,30.12,30.06,30.02,10,10,5,17,7,23,0,0,,253<br />
5/4/14,89,75,61,62,56,50,90,59,28,30.16,30.1,30.04,10,10,8,16,7,20,0,0,,235<br />
5/5/14,86,72,57,60,54,49,87,59,30,30.09,30.03,29.97,10,10,9,17,7,21,0,0,,213<br />
5/6/14,85,72,59,61,58,56,84,62,40,30.01,29.96,29.92,10,10,6,16,8,26,0,2,,178<br />
5/7/14,88,77,65,67,63,59,87,64,40,30.04,30,29.94,10,10,8,22,11,26,0,3,,145<br />
5/8/14,89,79,69,69,66,60,97,69,40,30.07,30.03,29.99,10,8,2,20,10,26,0,4,,134<br />
5/9/14,80,73,65,74,69,62,97,87,76,30.04,30,29.96,10,6,0,17,10,24,3.27,7,Fog-Rain-Thunderstorm,113<br />
5/10/14,86,76,65,71,68,62,93,75,57,30.04,29.97,29.93,10,9,5,17,8,22,0.19,5,Rain-Thunderstorm,119<br />
5/11/14,84,78,71,74,71,69,94,80,65,30.01,29.97,29.93,10,6,0,17,8,24,0.87,6,Fog-Rain-Thunderstorm,105<br />
5/12/14,89,81,73,73,70,67,94,72,50,30.06,30,29.94,10,9,4,20,11,26,0,6,,129<br />
5/13/14,86,79,71,71,68,63,93,71,48,30.07,30.02,29.98,10,9,6,16,5,20,0.09,4,Rain,114<br />
5/14/14,77,67,56,69,63,50,97,79,61,30.15,30.02,29.97,10,8,1,18,7,24,T,7,Rain,308<br />
5/15/14,74,62,50,51,45,41,86,60,33,30.25,30.19,30.16,10,10,10,16,6,24,0,0,,323<br />
5/16/14,83,68,52,57,53,48,89,63,36,30.2,30.15,30.07,10,10,10,17,8,23,0,1,,238<br />
5/17/14,84,72,60,61,58,53,90,66,42,30.16,30.12,30.09,10,10,10,18,9,23,0,1,,182<br />
5/18/14,86,72,58,62,59,55,93,65,37,30.19,30.14,30.09,10,10,6,10,4,13,0,1,,114<br />
5/19/14,88,74,60,64,58,51,93,61,29,30.17,30.12,30.09,10,8,3,16,7,23,0,1,,125<br />
5/20/14,88,77,65,67,62,56,93,64,34,30.18,30.14,30.11,10,8,0,17,8,21,0,1,Fog,147<br />
5/21/14,89,78,66,68,63,60,93,66,38,30.19,30.14,30.11,10,7,1,15,6,19,0,2,,131<br />
5/22/14,89,77,65,68,64,62,93,68,43,30.19,30.13,30.07,10,9,5,12,4,16,0,2,,146<br />
5/23/14,89,78,66,69,64,58,93,67,40,30.16,30.11,30.04,10,9,5,12,4,14,0,3,,235<br />
5/24/14,86,76,66,69,66,62,93,72,51,30.12,30.08,30.02,10,10,10,9,3,11,0,3,,129<br />
5/25/14,89,77,64,68,64,60,93,67,40,30.11,30.07,30.01,10,9,2,13,4,17,0,2,,152<br />
5/26/14,89,77,65,69,65,61,93,69,44,30.14,30.09,30.05,10,10,8,13,6,17,0,1,,168<br />
5/27/14,87,79,70,73,70,66,93,72,51,30.06,30,29.94,10,9,2,24,10,34,0.46,4,Rain-Thunderstorm,157<br />
5/28/14,78,73,67,71,67,66,100,88,76,29.96,29.91,29.84,10,6,1,18,9,25,3.34,7,Rain-Thunderstorm,109<br />
5/29/14,81,75,69,72,69,66,97,86,74,29.87,29.85,29.8,10,10,5,18,8,25,0.03,5,Rain,122<br />
5/30/14,87,80,72,72,71,69,93,77,61,29.94,29.87,29.84,10,9,2,20,8,23,0.04,5,Rain,114<br />
5/31/14,84,78,71,74,70,68,100,82,63,29.98,29.93,29.9,10,10,1,17,8,22,0.03,4,Rain,87<br />
6/1/14,81,77,72,73,71,69,93,84,74,30.02,29.99,29.96,10,8,0,18,8,24,1.2,6,Fog-Rain-Thunderstorm,99<br />
6/2/14,86,79,71,73,71,69,100,81,61,30.05,30.02,30,10,8,0,18,6,24,0.04,6,Fog-Rain-Thunderstorm,81<br />
6/3/14,87,79,71,73,71,69,100,78,55,30.06,30.02,29.97,10,7,0,16,6,25,0.04,5,Fog-Rain,71<br />
6/4/14,88,79,70,72,71,69,100,79,57,29.98,29.94,29.88,10,9,0,13,6,16,T,5,,91<br />
6/5/14,90,81,72,75,72,70,94,77,59,29.94,29.91,29.87,10,10,10,13,5,16,0,5,,150<br />
6/6/14,92,82,72,75,72,70,100,76,52,29.98,29.94,29.9,10,10,9,13,4,16,0,2,,268<br />
6/7/14,92,83,74,74,73,71,94,75,56,30.01,29.96,29.9,10,10,9,14,5,17,0,3,,229<br />
6/8/14,92,83,74,75,73,68,94,73,52,30,29.94,29.85,10,10,10,16,8,20,0,2,,240<br />
