CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
4/1/13,41,36,30,19,13,9,59,39,16,30.21,30.11,29.92,10,10,10,20,12,31,0,1,,310<br />
4/2/13,46,36,25,18,11,5,60,36,9,30.34,30.27,30.19,10,10,10,21,9,26,0,1,,299<br />
4/3/13,43,35,26,20,15,11,61,43,20,30.49,30.42,30.35,10,10,10,14,7,21,0,3,,39<br />
4/4/13,58,44,30,31,19,15,64,37,9,30.35,30.14,30,10,10,10,16,8,20,0,2,,221<br />
4/5/13,48,42,36,31,23,18,76,48,22,30.25,30.18,30.01,10,10,10,21,13,28,0,4,,32<br />
4/6/13,70,53,36,46,31,20,77,42,14,30.19,29.86,29.6,10,10,4,33,17,44,0.08,8,Rain-Thunderstorm,168<br />
4/7/13,60,50,40,49,37,30,83,65,44,29.99,29.87,29.62,10,10,7,24,12,32,0,5,,264<br />
4/8/13,68,54,40,53,44,33,93,72,43,29.99,29.81,29.63,10,9,2,33,14,51,0.41,6,Rain-Thunderstorm,129<br />
4/9/13,60,50,40,45,40,37,93,84,54,30.01,29.95,29.84,10,7,2,21,10,25,0.18,8,Rain-Thunderstorm,39<br />
4/10/13,42,40,38,41,38,36,100,92,85,29.99,29.9,29.83,10,6,2,32,15,39,1.15,8,Rain-Thunderstorm,33<br />
4/11/13,50,45,39,49,43,37,100,96,89,29.89,29.65,29.56,10,4,1,30,10,36,0.13,8,Rain,31<br />
4/12/13,47,42,37,36,32,28,87,75,57,29.88,29.69,29.58,10,10,8,25,14,32,0.02,8,Rain,245<br />
4/13/13,46,40,34,30,28,24,87,63,36,30.01,29.93,29.86,10,9,2,23,11,29,0.01,7,Snow,260<br />
4/14/13,70,55,39,48,36,27,65,52,33,30.04,29.86,29.69,10,10,10,28,15,36,T,6,Rain,106<br />
4/15/13,65,56,46,54,48,43,87,72,48,29.98,29.84,29.72,10,9,2,30,14,43,0.32,8,Rain,234<br />
4/16/13,56,49,42,43,34,31,87,65,41,30.29,30.14,29.96,10,10,10,15,8,18,T,6,,5<br />
4/17/13,52,48,43,49,40,30,100,80,52,30.29,30.09,29.81,10,6,1,28,11,35,1.87,8,Rain-Thunderstorm,55<br />
4/18/13,63,52,40,58,52,34,100,92,71,29.81,29.6,29.44,10,5,1,30,14,46,1.67,8,Rain-Thunderstorm,202<br />
4/19/13,40,37,33,34,28,26,82,68,53,29.94,29.66,29.51,10,10,1,33,21,43,T,8,Snow,255<br />
4/20/13,46,38,30,28,21,15,82,52,20,30.46,30.23,29.94,10,10,4,21,10,25,T,3,Snow,318<br />
4/21/13,54,44,33,28,22,15,59,40,19,30.55,30.46,30.36,10,10,10,21,10,30,0,3,,143<br />
4/22/13,67,55,42,35,31,28,58,39,18,30.35,30.21,30.05,10,10,10,16,9,21,0,4,,153<br />
4/23/13,60,49,38,52,43,34,89,77,45,30.03,29.94,29.89,10,7,3,18,10,24,0.52,8,Rain,280<br />
4/24/13,51,44,37,35,30,24,89,64,28,30.15,30.04,29.93,10,10,10,20,11,25,0.01,6,Rain,316<br />
4/25/13,51,46,41,36,30,26,76,57,27,30.35,30.19,30.08,10,10,5,24,11,33,0.01,5,Rain,247<br />
4/26/13,68,54,40,43,35,26,64,47,28,30.37,30.31,30.25,10,10,10,22,11,31,0,4,,190<br />
4/27/13,68,57,46,44,40,37,80,55,22,30.3,30.17,30,10,10,9,16,7,23,T,4,,120<br />
4/28/13,63,58,52,52,50,46,94,78,58,29.99,29.9,29.83,10,8,4,13,6,16,0.06,7,Rain,64<br />
4/29/13,74,63,52,52,50,48,89,61,33,29.92,29.85,29.78,10,9,5,20,12,32,0,5,,194<br />
4/30/13,86,73,60,57,54,50,70,52,24,29.93,29.83,29.78,10,10,10,23,15,33,0,5,,189<br />
5/1/13,85,74,63,56,52,47,73,45,17,30.11,30.05,29.94,10,10,10,20,8,29,0,1,,178<br />
5/2/13,71,57,42,51,39,35,76,65,49,30.22,30.18,30.11,10,10,10,28,16,35,0,5,,19<br />
5/3/13,50,45,40,45,41,35,89,83,76,30.15,30.04,29.96,10,10,7,22,11,28,0.02,8,Rain,24<br />
5/4/13,72,61,49,48,45,41,86,59,30,30.04,29.98,29.95,10,10,10,21,8,26,T,7,,51<br />
5/5/13,70,60,49,44,41,38,71,50,29,30.03,30,29.97,10,10,10,20,9,23,0,6,,16<br />
5/6/13,70,61,51,40,37,30,55,39,18,30.03,30,29.97,10,10,10,16,8,20,0,7,,16<br />
5/7/13,76,63,49,43,39,34,66,42,19,30.05,30.01,29.98,10,10,10,13,6,16,0,4,,35<br />
5/8/13,77,64,51,47,43,36,74,45,23,30.03,29.99,29.96,10,10,10,14,4,17,0,3,,85<br />
5/9/13,76,63,50,59,49,37,94,61,35,29.96,29.9,29.83,10,8,2,20,6,25,0.63,7,Rain,79<br />
5/10/13,50,47,44,47,42,37,93,84,69,30,29.89,29.78,10,7,2,22,11,28,0.04,8,Rain,348<br />
5/11/13,62,53,44,47,37,23,86,60,24,30.05,29.93,29.84,10,9,5,30,11,37,0,6,,273<br />
5/12/13,55,47,38,33,27,23,63,47,18,30.13,30.1,30.05,10,10,10,21,10,29,0,3,,315<br />
5/13/13,61,50,38,36,31,23,76,47,25,30.19,30.12,30.01,10,10,10,20,6,26,0,3,,81<br />
5/14/13,90,74,57,56,46,32,52,39,17,29.98,29.77,29.64,10,10,10,22,12,28,0,2,,208<br />
5/15/13,83,73,62,56,48,43,54,39,24,29.82,29.75,29.61,10,10,10,23,10,29,T,5,,222<br />
5/16/13,81,69,57,51,43,37,69,41,13,29.96,29.9,29.81,10,10,10,14,5,18,0,3,,65<br />
5/17/13,73,66,58,55,46,38,62,50,34,30.04,30,29.94,10,10,10,16,6,18,T,8,,63<br />
5/18/13,79,69,59,59,56,51,87,65,43,30.06,30,29.94,10,9,6,14,7,17,0,4,,102<br />
5/19/13,87,75,62,63,60,55,81,58,31,29.94,29.86,29.74,10,9,6,20,8,26,0,5,,145<br />
5/20/13,92,79,65,67,60,50,94,57,16,29.8,29.74,29.68,10,8,1,37,14,45,1.25,6,Rain-Thunderstorm,199<br />
5/21/13,82,74,65,65,61,59,94,70,39,29.78,29.69,29.64,10,9,3,23,13,30,0.2,6,Rain-Thunderstorm,195<br />
5/22/13,73,65,56,65,61,53,94,77,49,29.74,29.66,29.61,10,8,0,21,9,26,0.65,7,Fog-Rain,223<br />
5/23/13,56,50,43,54,41,31,93,73,50,30.3,30.02,29.75,10,8,2,33,18,41,0.12,6,Rain,7<br />
5/24/13,57,50,42,34,32,30,70,51,31,30.45,30.38,30.31,10,10,10,21,9,28,0,1,,34<br />
5/25/13,57,52,46,40,36,32,63,53,43,30.41,30.35,30.31,10,10,10,12,4,13,0,7,,53<br />
5/26/13,67,57,46,48,43,33,71,58,39,30.31,30.24,30.14,10,10,10,15,6,20,T,7,Rain,86<br />
5/27/13,65,61,56,57,55,50,94,85,68,30.14,29.98,29.85,10,6,2,15,8,18,0.19,8,Rain-Thunderstorm,100<br />
5/28/13,76,68,59,68,63,57,94,83,69,29.87,29.79,29.74,10,8,1,25,10,33,2.2,8,Rain-Thunderstorm,196<br />
5/29/13,85,75,65,66,63,58,87,67,47,29.95,29.87,29.79,10,10,10,16,9,23,0.02,6,Rain,200<br />
5/30/13,84,75,65,68,64,58,88,64,49,29.93,29.86,29.78,10,10,4,26,14,36,0.09,6,Rain-Thunderstorm,187<br />
5/31/13,78,72,65,68,64,60,94,74,53,29.87,29.8,29.71,10,9,2,21,13,29,0.23,7,Rain,192<br />
6/1/13,76,70,63,66,61,59,88,76,57,29.75,29.7,29.67,10,10,1,23,12,30,0.44,7,Rain-Thunderstorm,208<br />
6/2/13,63,55,47,58,49,41,90,81,62,30.06,29.92,29.71,10,8,2,20,8,24,0.01,6,Rain,35<br />
6/3/13,68,56,43,44,39,33,93,55,20,30.12,30.08,30.05,10,10,10,16,4,20,0,1,,106<br />
6/4/13,72,61,50,47,44,39,80,52,31,30.17,30.12,30.1,10,10,10,17,7,21,0,5,,81<br />
6/5/13,76,66,56,50,46,43,72,52,29,30.1,30.01,29.93,10,10,10,16,8,20,T,7,Rain,49<br />
6/6/13,65,60,54,53,48,44,81,64,43,29.92,29.9,29.87,10,10,10,16,10,21,0.06,6,Rain,32<br />
6/7/13,68,61,54,49,44,34,77,55,24,29.94,29.92,29.9,10,10,10,17,9,22,0,3,,17<br />
6/8/13,74,62,50,48,41,38,71,44,21,30.01,29.96,29.91,10,10,10,14,6,18,0,5,,60<br />
6/9/13,83,71,58,59,53,49,75,51,29,30,29.9,29.79,10,10,10,20,8,26,0.01,7,Rain,138<br />
6/10/13,75,68,61,64,62,58,94,81,64,29.86,29.77,29.73,10,7,1,10,4,16,0.85,6,Fog-Rain-Thunderstorm,65<br />
6/11/13,84,72,60,65,60,57,96,70,35,29.91,29.86,29.79,10,6,0,14,4,16,0.24,4,Fog-Rain-Thunderstorm,228<br />
6/12/13,87,76,64,71,64,59,88,74,53,29.9,29.74,29.58,10,8,2,24,6,31,0.25,7,Rain-Thunderstorm,61<br />
6/13/13,72,66,59,61,54,49,94,66,38,30.04,29.86,29.64,10,10,5,21,13,28,0,4,,8<br />
6/14/13,76,67,57,55,50,46,72,57,27,30.12,30.06,30.03,10,10,10,16,8,23,0,2,,53<br />
6/15/13,81,71,61,67,60,51,81,67,48,30.04,29.95,29.85,10,10,5,23,7,32,0.12,7,Rain-Thunderstorm,196<br />
6/16/13,83,76,69,65,63,60,81,62,41,29.91,29.87,29.84,10,10,10,22,10,30,0,5,,238<br />
6/17/13,88,75,62,62,57,50,78,52,22,29.91,29.88,29.82,10,10,10,25,8,31,0.1,6,Rain-Thunderstorm,254<br />
6/18/13,70,64,57,56,52,45,94,73,47,30.06,29.99,29.9,10,8,1,21,12,25,0.01,5,Rain,17<br />
6/19/13,75,66,57,52,45,36,72,47,19,30.14,30.1,30.06,10,10,10,14,7,21,0,1,,63<br />
6/20/13,86,74,62,63,57,47,72,52,34,30.14,30.1,30.05,10,10,10,16,7,20,0,4,,107<br />
6/21/13,85,78,70,66,63,59,88,65,45,30.17,30.06,29.87,10,10,8,30,10,39,0.11,7,Rain-Thunderstorm,197<br />
6/22/13,83,77,70,69,65,63,81,68,56,30.07,30,29.94,10,10,9,17,8,23,0,7,,202<br />
6/23/13,89,79,69,70,66,63,84,66,40,30.03,29.98,29.92,10,10,10,24,10,33,T,7,Rain-Thunderstorm,200<br />
6/24/13,86,77,68,70,66,61,88,74,47,30.04,29.97,29.86,10,8,1,47,11,67,0.14,8,Rain-Thunderstorm,216<br />
6/25/13,87,79,70,72,67,60,84,69,42,29.95,29.87,29.79,10,10,6,21,9,28,T,8,Rain-Thunderstorm,198<br />
6/26/13,81,75,68,67,65,62,90,75,53,29.85,29.76,29.7,10,10,8,22,9,26,0.19,7,Rain-Thunderstorm,131<br />
6/27/13,91,79,66,69,65,61,90,68,31,29.76,29.72,29.66,10,8,0,17,6,30,0.59,4,Fog-Rain-Thunderstorm,309<br />
6/28/13,83,76,68,64,60,55,81,61,38,29.67,29.62,29.58,10,10,2,32,10,41,0.16,4,Rain-Thunderstorm,292<br />
6/29/13,72,68,64,62,59,52,88,75,59,29.75,29.65,29.57,10,9,7,22,12,28,T,7,Rain,6<br />
6/30/13,76,70,64,59,53,40,80,56,31,29.96,29.87,29.75,10,10,10,26,14,38,0,5,,8<br />
7/1/13,75,68,61,54,50,47,72,51,30,30.04,30.01,29.96,10,10,10,26,14,31,0,5,,21<br />
7/2/13,68,65,62,58,53,49,86,66,45,30.08,30.05,30.02,10,10,10,18,12,23,T,7,Rain,30<br />
7/3/13,74,68,62,64,60,57,87,78,68,30.07,30.04,30.01,10,9,7,12,4,14,0.07,7,Rain-Thunderstorm,23<br />
7/4/13,83,72,61,61,59,57,90,63,39,30.09,30.06,30.03,10,8,5,17,8,25,0,5,,189<br />
7/5/13,87,75,63,64,59,55,81,56,27,30.08,30.04,29.99,10,9,7,14,6,21,0,3,,198<br />
7/6/13,82,77,71,65,63,62,78,63,46,30.05,30.01,29.96,10,10,10,12,6,21,0,7,,189<br />
7/7/13,89,80,70,69,66,64,84,63,38,30,29.97,29.93,10,10,10,15,8,21,0,6,,207<br />
7/8/13,87,79,71,73,69,66,94,76,50,30.04,29.97,29.9,10,8,1,22,11,28,0.84,7,Rain-Thunderstorm,216<br />
7/9/13,85,80,75,75,72,69,87,75,65,29.97,29.92,29.83,10,9,5,25,9,32,0.01,5,Rain,233<br />
7/10/13,87,77,66,74,65,55,88,64,47,30.02,29.88,29.81,10,10,7,17,8,20,0,3,,14<br />
7/11/13,80,72,63,60,52,42,80,50,23,30.09,30.05,29.99,10,10,10,17,8,22,0,1,,19<br />
7/12/13,82,71,60,61,53,50,78,51,27,30.13,30.1,30.07,10,10,10,14,5,18,0,1,,67<br />
7/13/13,83,75,67,63,58,54,75,54,35,30.14,30.12,30.09,10,10,10,16,7,22,0,1,,98<br />
7/14/13,88,81,73,67,66,65,76,62,40,30.19,30.16,30.12,10,10,10,16,9,18,0,1,,81<br />
7/15/13,91,83,75,74,71,67,84,67,46,30.23,30.21,30.19,10,10,7,16,6,22,0.02,4,Rain,76<br />
7/16/13,93,85,77,72,71,69,82,62,39,30.29,30.25,30.21,10,10,10,14,7,21,0.01,2,,216<br />
7/17/13,95,86,77,72,69,67,76,57,34,30.29,30.22,30.14,10,10,10,17,7,22,0,2,,247<br />
7/18/13,96,88,79,73,71,68,79,59,32,30.14,30.04,29.93,10,10,10,22,9,29,0,2,Thunderstorm,233<br />
7/19/13,97,86,75,73,69,64,83,55,29,29.92,29.82,29.73,10,10,8,30,14,37,0,3,Thunderstorm,241<br />
7/20/13,88,80,72,70,64,58,88,61,30,29.96,29.85,29.77,10,10,10,15,7,18,0.01,5,Rain,9<br />
7/21/13,89,81,72,67,63,58,79,58,30,29.94,29.89,29.82,10,10,10,23,8,28,0,6,,104<br />
7/22/13,90,81,72,67,64,59,79,59,29,29.85,29.78,29.71,10,10,10,28,7,38,T,5,,186<br />
7/23/13,80,73,65,63,59,53,78,59,43,29.96,29.8,29.66,10,10,5,23,11,30,0,5,Rain-Thunderstorm,338<br />
7/24/13,73,68,62,52,48,46,63,49,31,30.05,30.02,29.95,10,10,10,20,11,26,0,3,,49<br />
7/25/13,81,70,58,55,51,48,78,51,27,30.09,30.05,30.02,10,10,10,13,4,18,0,3,,247<br />
7/26/13,74,70,65,64,58,53,84,66,49,30.01,29.94,29.87,10,10,10,20,10,33,0.01,8,Rain,205<br />
7/27/13,68,63,57,57,51,43,83,66,47,29.91,29.89,29.85,10,10,10,20,11,24,0,6,,304<br />
7/28/13,71,63,55,49,46,43,80,56,27,30.02,29.94,29.88,10,10,10,20,10,26,T,5,Rain,263<br />
7/29/13,76,67,58,57,53,49,78,61,42,30.17,30.11,30.02,10,10,10,14,8,17,0,5,,351<br />
7/30/13,74,68,61,60,56,51,78,63,45,30.17,30.13,30.06,10,10,10,13,6,21,T,7,Rain,152<br />
7/31/13,75,70,64,65,63,58,94,82,65,30.06,30,29.94,10,6,1,21,4,26,0.18,7,Rain-Thunderstorm,290<br />
8/1/13,82,72,61,62,55,48,90,56,29,29.97,29.95,29.93,10,10,8,22,7,26,0,3,,277<br />
8/2/13,86,76,65,68,61,53,88,69,48,29.92,29.88,29.83,10,10,2,18,8,25,0.41,7,Rain-Thunderstorm,197<br />
8/3/13,79,73,66,62,54,48,73,51,24,30.09,30.01,29.92,10,10,10,18,8,26,0,4,,35<br />
8/4/13,74,67,60,59,55,53,78,62,43,30.19,30.14,30.1,10,10,10,16,7,21,T,5,Rain,71<br />
8/5/13,76,70,63,61,56,47,73,62,49,30.11,29.99,29.88,10,10,10,20,8,26,0.02,7,Rain,170<br />
8/6/13,85,77,68,68,65,61,84,70,47,29.91,29.86,29.81,10,10,9,17,9,28,0,6,,214<br />
8/7/13,91,81,70,72,68,59,87,69,42,29.92,29.82,29.77,10,10,6,22,11,30,0.01,5,,274<br />
8/8/13,79,74,69,63,55,49,78,55,27,30.01,29.97,29.93,10,10,10,20,11,23,0,5,,46<br />
8/9/13,84,73,62,64,57,51,75,55,31,30.01,29.98,29.95,10,10,10,15,6,21,0,6,,277<br />
8/10/13,81,75,68,64,56,50,84,53,27,30.11,30.07,30.02,10,10,10,16,7,18,0,4,,50<br />
8/11/13,84,74,63,61,57,52,75,54,29,30.12,30.07,30.01,10,10,10,16,5,20,T,4,,248<br />
8/12/13,85,77,69,68,63,59,87,68,44,30.02,29.93,29.86,10,8,1,24,8,38,0.66,6,Rain,271<br />
8/13/13,71,67,62,65,51,41,87,59,36,30.14,30.04,29.91,10,10,6,21,12,28,0,4,,16<br />
